name_rus;name_eng;city_rus;city_eng;gmt_offset;country_rus;phone;email;website
;Ampara;;Ampara;+5.5;Шри-Ланка;;;
;Kodiak Airport;;Kodiak;-9.0;США;;;
;Andrews;;Andrews;-5.0;США;;;
;Addison Airport;Даллас;Dallas;-6.0;США;;;
Ада;Ada;Ада;Ada;+0.0;США;;;
;Ardabil;;Ardabil;+3.5;Иран;;;
Эндовер;Andover;Эндовер;Andover;+0.0;Великобритания;;;
;Andrews AFB;;Camp Springs;-5.0;США;;;
;Leuchars;;St Andrews;+0.0;Великобритания;;;
Оллдейз;Alldays;Оллдейз;Alldays;-2.0;ЮАР;;;
Остров Сан Андрес;San Andres Island;Остров Сан Андрес;San Andres Island;+5.0;Колумбия;;;
Абемама-Атолл;Abemama Atoll;Абемама-Атолл;Abemama Atoll;-12.0;Кирибати;;;
;Aleneva;;Aleneva;-9.0;США;;;
Эк-Годан;Aek Godang;Эк-Годан;Aek Godang;+7.0;Индонезия;;;
;Abecher;;Abecher;+1.0;Чад;;;
Альгесирас;Algeciras;Альгесирас;Algeciras;+0.0;Испания;;;
Асеки;Aseki;Асеки;Aseki;-10.0;Папуа - Новая Гвинея;;;
Альберт Ли;Albert Lea;Альберт Ли;Albert Lea;-6.0;США;;;
;Aioun El Atrouss;;Aioun El Atrouss;+0.0;Мавритания;;;
;Arpt. Jorge Newbery;Буэнос-Айрес;Buenos Aires;-3.0;Аргентина;;;
Адлер - Сочи;Adler - Sochi;Адлер;Adler;+3.0;Россия;(8622) 40-00-88;;http://airport.sochi.ru
Вигра;Vigra;;Aalesund;+1.0;Норвегия;+47 70 11 48 00;;http://www.alesund.airport.no/
;Allakaket;;Allakaket;-9.0;США;;;
;Abu Musa;;Abu Musa;+0.0;Иран;;;
Александрия международный;Alexandria International;;Alexandria, LA;-6.0;США;;;
Акурейри;Akureyri;Акурейри;Akureyri;+0.0;Исландия;;;
Сан-Рафаэль;San Rafael;Сан-Рафаэль;San Rafael;+4.0;Аргентина;;;
Порт Альфред;Port Alfred;Порт Альфред;Port Alfred;-2.0;ЮАР;;;
;USAF Academy Airstrip;Колорадо Спрингз;Colorado Springs;-7.0;США;;;
Амалфи;Amalfi;Амалфи;Amalfi;+5.0;Колумбия;;;
;Kondavattavan Tank;;Ampara;+5.5;Шри-Ланка;;;
Алта-Флореста;Alta Floresta;Алта-Флореста;Alta Floresta;-3.0;Бразилия;;;
;Municipal;;Jaffrey;+5.0;США;;;
;Municipal;Афтон;Afton;-7.0;США;;;
Афоре;Afore;Афоре;Afore;-10.0;Папуа - Новая Гвинея;;;
Зарафшан;Zarafshan;Зарафшан;Zarafshan;+5.0;Узбекистан;;;
;Afutara Aerodrome;Афутара;Afutara;+0.0;Соломоновы острова;;;
;Fort Worth Alliance;;Fort Worth, TX;-6.0;США;;;
Афион;Afyon;Афион;Afyon;+2.0;Турция;;;
;Sabzevar;;Sabzevar;+3.5;Иран;;;
Агадир Альмассира;Agadir Almassira;Агадир;Agadir;+0.0;Марокко;;;
;Augsburg - Muehlhausen;Мюнхен;Munich;+1.0;Германия;;;http://www.augsburg-airport.de/
;Allegheny County;Питтсборо;Pittsburgh;+5.0;США;412-472-3525;info@flypittsburgh.com;http://www.pitairport.com/
Ангги;Anggi;Ангги;Anggi;+9.0;Индонезия;;;
;Flugplatz;Вангерооге;Wangerooge;-1.0;Германия;;;
;La Garenne;Аген;Agen;+1.0;Франция;;;
Ангорам;Angoram;Ангорам;Angoram;+10.0;Папуа - Новая Гвинея;;;
;Angelholm;;Angelholm/Helsingborg;+1.0;Швеция;;;http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx
Вагенинген;Wageningen;Вагенинген;Wageningen;+3.0;Суринам;;;
Агуни;Aguni;Агуни;Aguni;+9.0;Япония;;;
Кагуа;Kagua;Кагуа;Kagua;-10.0;Папуа - Новая Гвинея;;;
Ванигела;Wanigela;Ванигела;Wanigela;-10.0;Папуа - Новая Гвинея;;;
;Tasiilaq;;Tasiilaq;-3.0;Гренландия;;;
Ангун;Angoon;;Angoon;-9.0;США;;;
;Municipal;;Magnolia;-6.0;США;;;
;Pablo Ruiz Picasso;Малага;Malaga;+1.0;Испания;+34 951 01 1000;;http://www.aena.es/csee/Satellite?cid=1048858947193&pagename=Estandar%2FPage%2FAeropuerto&SMO=-1&SiteName=AGP&c=Page&MO=0&lang=EN_GB
Агринио;Agrinion;Агринио;Agrinion;+2.0;Греция;;;
;Kheria;Агра;Agra;+5.5;Индия;;;
;Bush Field;;Augusta;-5.0;США;;;
;Alejo Garcia;Кудад-дель-Эсте;Ciudad Del Este;-3.0;Парагвай;;;
;Aguascalients;Агуаскалиентес;Aguascalientes;-6.0;Мексика;;;
Акарикуа;Acarigua;Акарикуа;Acarigua;-4.0;Венесуэла;;;
;Agnew;;Agnew;+10.0;Австралия;;;
Агатти-Айленд;Agatti Island;Агатти-Айленд;Agatti Island;+5.5;Индия;+91 4894-42217;;
;Argyle Downs;;Argyle Downs;+9.0;Австралия;;;
Аггенейз;Aggeneys;Аггенейз;Aggeneys;+2.0;ЮАР;;;
;Naha Air Force Base;Окинава;Okinawa;+9.0;Япония;;;
Абха;Abha;Абха;Abha;+3.0;Саудовская Аравия;;;
;Amedee AAF;;Herlong;+1.0;Норвегия;;;
;Downtown;Ардмор;Ardmore;-6.0;США;;;
;Ahe Airport;;Ahe;+0.0;Французская Полинезия;;;
;Municipal;;Arapahoe;-6.0;Гватемала;;;
;Municipal;;Amery;-6.0;США;;;
Амахаи;Amahai;Амахаи;Amahai;+8.0;Индонезия;;;
Аисхалтон;Aishalton;Аисхалтон;Aishalton;+3.0;Гайана;;;
Афины;Athens;Афины;Athens;+2.0;Греция;;;
;Fertilia;;Alghero;+1.0;Италия;;;
Ахуас;Ahuas;Ахуас;Ahuas;+6.0;Гондурас;;;
Ам-Тиман;Amchitka;Ам-Тиман;Amchitka;+10.0;США;;;
;Charif Al Idrissi;;Al Hoceima;+0.0;Марокко;;;
Амбатолахи;Ambatolahy;Амбатолахи;Ambatolahy;-3.0;Мадагаскар;;;
;Alpe D Huez;;Alpe D Huez;+1.0;Франция;;;
Альянс;Alliance;;Alliance;-7.0;США;;;
Анита Бэй;Anita Bay;;Anita Bay;-9.0;США;;;
Айрок;Airok;;Airok, Ailinglaplap;+12.0;Маршалловы острова;;;
;Municipal;;Anderson;-5.0;США;;;
Айоме;Aiome;Айоме;Aiome;-10.0;Папуа - Новая Гвинея;;;
;Assis;;Assis;+3.0;Бразилия;;;
Ялинга;Yalinga;Ялинга;Yalinga;+1.0;Центральноафриканская Республика;;;
;Aiambak;;Aiambak;+0.0;Папуа - Новая Гвинея;;;
;Alisabieh;;Alisabieh;+3.0;Джибути;;;
;Municipal;;Aiken;-5.0;США;;;
Айлиганди;Ailigandi;Айлиганди;Ailigandi;+5.0;Панама;;;
;Ailuk Island;;Ailuk Island;-12.0;Маршалловы острова;;;
;Wainwright;;Wainwright;+9.0;США;;;
;Municipal;;Atlantic;-6.0;США;;;
;Ailinglapalap Island;;Ailinglapalap Island;-12.0;Маршалловы острова;;;
;Aripuana;;Aripuana;+0.0;Бразилия;;;
Ароре-Айленд;Arorae Island;Ароре-Айленд;Arorae Island;+12.0;Кирибати;;;
Аитутаки;Aitutaki;Аитутаки;Aitutaki;+10.0;Острова Кука;;;
;Atiu Island;;Atiu Island;+10.0;Острова Кука;;;
;George Downer;;Aliceville;-6.0;США;;;
;Ai-ais;;Ai-ais;+1.0;Намибия;;;
;Bader Field;Атлантик Сити;Atlantic City;-5.0;США;;;
;Lee C Fine Memorial;;Kaiser/Lake Ozark;+6.0;США;;;
Кампо Дель Оро;Campo Dell Oro;Аяччио;Ajaccio;+1.0;Франция;;;http://www.ajaccio.aeroport.fr
Джуф;Jouf;;Sakaka Al Jouf;-3.0;Саудовская Аравия;;;
;Ağri;Агри;Agri;+1.0;Италия;;;
Акжужт;Akjoujt;Акжужт;Akjoujt;+0.0;Мавритания;;;
;Araak;;Araak;+3.5;Иран;;;
Айзаул;Aizawl;Айзаул;Aizawl;-5.5;Индия;;;
;Ouani;Анжуан;Anjouan;+3.0;Коморские острова;;;
Альюф;Aljouf;Альюф;Aljouf;+3.0;Йемен;;;
Арвидсьяур;Arvidsjaur;Арвидсьяур;Arvidsjaur;+1.0;Швеция;;;
Абреохос;Abreojos;Абреохос;Abreojos;+7.0;Мексика;;;
Санта Мария;Santa Maria;Аракайю;Aracaju;-2.0;Бразилия;;;
;Agades;;Agades;+1.0;Нигер;;;
Анькан;Ankang;Анькан;Ankang;-8.0;Китай;;;
;Atka;;Atka;-10.0;США;;;
;Fulton International;;Akron/Canton;;ЮАР;;;
Акола;Akola;Акола;Akola;+5.5;Индия;;;
Акиени;Akieni;Акиени;Akieni;+1.0;Габон;;;
Куфра;Kufrah;Куфра;Kufrah;+2.0;Ливия;;;
Ангуганак;Anguganak;Ангуганак;Anguganak;-10.0;Папуа - Новая Гвинея;;;
;Prince Sultan Air Base;;Al Kharj;+3.0;Саудовская Аравия;;;
;Akiak;;Akiak;-9.0;США;;;
Асахикава;Asahikawa;Асахикава;Asahikawa;+9.0;Япония;(81)166-83-3939;info@aapb.co.jp;http://www.aapb.co.jp/
;Akhiok SPB;;Akhiok;-9.0;США;;;
;Auckland International;Окленд;Auckland;+13.0;Новая Зеландия;+64 9 256 8899;mail@akl-airport.co.nz;http://www.auckland-airport.co.nz/
Закума;Zakouma;Закума;Zakouma;+1.0;Чад;;;
;King Salmon;;King Salmon;-9.0;США;;;
;Colorado Plains Regional Airport;Akron;Akron, CO;-7.0;США;;;
;Anaktuvuk;;Anaktuvuk;-9.0;США;;;
;Gunung Batin;Астраксетра;Astraksetra;+7.0;Индонезия;;;
Акере;Akure;Акере;Akure;-1.0;Нигерия;;;
;Akrotiri Raf;Акротири;Akrotiri;+2.0;Кипр;;;
Аксу;Aksu;Аксу;Aksu;-8.0;Китай;;;
;Akulivik;;Akulivik;-5.0;Канада;;;
;Aghajari;;Aghajari;+0.0;Иран;;;
Актюбинск;Aktyubinsk;Актюбинск;Aktyubinsk;+5.0;Казахстан;;;
;Civil;;Sittwe;-6.5;Мьянма;;;
Алматы;Almaty;Алматы;Almaty;+6.0;Казахстан;;;http://www.alaport.com
Олбани международный;Albany International;Олбани;Albany;-8.0;США;518-242-2222;info@albanyairport.com;http://www.albanyairport.com
;Alicante El Altet;Аликанте;Alicante;+1.0;Испания;;;
Алерта;Alerta;Алерта;Alerta;-5.0;Перу;;;
;Alpine;;Alpine;-6.0;США;;;
Альта;Alta;Алта;Alta;+1.0;Норвегия;;;
;Houari Boumediene;;Algiers;+1.0;Алжир;;;http://www.egsa.dz
Олбани;Albany;Олбани;Albany;+9.0;Австралия;;;
;International;;Alice;-6.0;США;;;
Кортдум;Kortdoorn;Александер-Бей;Alexander Bay;+2.0;ЮАР;;;
Асела;Asela;Асела;Asela;-3.0;Эфиопия;;;
Албенга;Albenga;Албенга;Albenga;+1.0;Италия;;;
;Municipal;Аламогордо;Alamogordo;-7.0;США;;;
Альтон;Alton;;Alton;-6.0;США;;;
Ватерло;Waterloo;Ватерло;Waterloo;+6.0;США;;;
;Nejrab;Алеппо;Aleppo;+2.0;Сирия;;;
;Federal;;Alegrete;+3.0;Бразилия;;;
Александра;Alexandra;Александра;Alexandra;+13.0;Новая Зеландия;;;
;Municipal;Аламоса;Alamosa;-7.0;США;;;
;Alenquer;;Alenquer;-4.0;Бразилия;;;
Алула;Alula;Алула;Alula;-3.0;Сомали;;;
;Andorra La Vella H/P;Андорра-ла-Велла;Andorra La Vella;+1.0;Андорра;;;
;Walla Walla;;Walla Walla;+8.0;США;509-525-3100;cp@portwallawalla.com;http://www.wallawallaairport.com
;Thomas C Russell Fld;;Alexander City;-6.0;США;;;
;El Nohza;Александрия;Alexandria;+2.0;Египет;;;
;Alitak SPB;;Alitak;-9.0;США;;;
;Rick Husband Amarillo International;;Amarillo, TX;-6.0;США;;;
Амбилобе;Ambilobe;Амбилобе;Ambilobe;+3.0;Мадагаскар;;;
;Am Timan;;Am Timan;+1.0;Чад;;;
Ахмедабад;Ahmedabad;Ахмедабад;Ahmedabad;+5.5;Индия;;;http://www.ahmedabadairport.com/
Альто-Молокуэ;Alto Molocue;Альто-Молокуэ;Alto Molocue;-2.0;Мозамбик;;;
Ама;Ama;Ама;Ama;-10.0;Папуа - Новая Гвинея;;;
;Amboin;;Amboin;-10.0;Папуа - Новая Гвинея;;;
Арба-Минч;Arba Mintch;Арба-Минч;Arba Mintch;+3.0;Эфиопия;;;
;Selaparang;;Mataram;+8.0;Индонезия;;;
Альменара;Almenara;;Almenara;+3.0;Бразилия;;;
;Animas Airpark;Дуранго;Durango;-7.0;США;;;
;Puerto Armuellas;;Puerto Armuellas;+5.0;Панама;;;
;Queen Alia Intl;Амман;Amman;+2.0;Иордания;;;
;Gratiot Community;;Alma;-5.0;США;;;
Мао;Mao;Мао;Mao;-1.0;Чад;;;
Ампанихи;Ampanihy;Ампанихи;Ampanihy;-3.0;Мадагаскар;;;
;Pattimura;Амбон;Ambon;+8.0;Индонезия;;;
Арно;Arno;Арно;Arno;+12.0;Маршалловы острова;;;
;Amsterdam-Schiphol;Амстердам;Amsterdam;+1.0;Нидерланды;-207940769;info@schiphol.nl;http://www.schiphol.com/
Амата;Amata;;Amata;-9.5;Австралия;;;
Аманаб;Amanab;Аманаб;Amanab;-10.0;Папуа - Новая Гвинея;;;
Амдерма;Amderma;Амдерма;Amderma;-2.0;Россия;;;
Амес;Ames;;Ames;-6.0;США;;;
;Ammaroo;;Ammaroo;-9.5;Австралия;;;
Амбатомаинти;Ambatomainty;Амбатомаинти;Ambatomainty;-3.0;Мадагаскар;;;
Ардмор;Ardmore;Ардмор;Ardmore;+13.0;Новая Зеландия;;;
;Orange County Steel Salvage Heliport;Анахайм;Anaheim;-8.0;США;;;
;Anniston Metropolitan;;Anniston;-6.0;США;;;
;Ted Stevens Anchorage International Airport;Анкораж;Anchorage;-9.0;США;907-266-2529;;http://www.anchorageairport.com
Андерсон;Anderson;;Anderson;-5.0;США;;;
;Marce;Анжер;Angers;+1.0;Франция;;;http://www.angers.aeroport.fr/
;Cerro Moreno;Антофагаста;Antofagasta;-3.0;Чили;;;
;Brie-Champniers;Ангулем;Angouleme;+1.0;Франция;;;
;Anuha Island Resort;;Anuha Island Resort;+11.0;Соломоновы острова;;;
;Aniak;;Aniak;-9.0;США;;;
Занага;Zanaga;Занага;Zanaga;-1.0;Конго;;;
;Etimesgut;Анкара;Ankara;+2.0;Турция;;;
Андуло;Andulo;Андуло;Andulo;-1.0;Ангола;;;
Антсирабато;Antsirabato;Анталаха;Antalaha;+3.0;Мадагаскар;;;
;Annette Island;;Annette Island;-9.0;США;;;
;Angoche;;Angoche;-2.0;Мозамбик;;;
Ли;Lee;Аннаполис;Annapolis;-5.0;США;;;
;Tri-State Steuben Cty;Ангола;Angola;-5.0;США;;;
;Deurne;Антверпен;Antwerp;+1.0;Бельгия;00 32 (0)3 285.65.00;navigatie.ebaw@lin.vlaanderen.be;http://www.antwerpairport.be
Андауайлас;Andahuaylas;Андауайлас;Andahuaylas;-5.0;Перу;;;
;St Anton;;St Anton;+0.0;Австрия;;;
;V. C. Bird Intl;;St. John's;-4.0;Антигуа и Барбуда;;;
;Anvik;;Anvik;-9.0;США;;;
;Ainsworth;;Ainsworth;-6.0;США;;;
Анденес;Andenes;Анденес;Andenes;+1.0;Норвегия;;;
;Anthony;;Anthony;-6.0;США;;;
;Angus Downs;;Angus Downs;-9.5;Австралия;;;
Ароа;Aroa;Ароа;Aroa;+10.0;Папуа - Новая Гвинея;;;
Аннаберг;Annanberg;Аннаберг;Annanberg;-10.0;Папуа - Новая Гвинея;;;
;Altenburg Nobitz;Альтенбург;Altenburg;+1.0;Германия;;;http://www.flughafen-altenburg.de
Абу-Дейя;Abou Deia;Абу-Дейя;Abou Deia;-1.0;Чад;;;
;Anadolu University;Эскишехир;Eskisehir;+2.0;Турция;;;
Аншан;Anshan;Аньшань;Anshan;+8.0;Китай;;;
;Allen County;Лима;Lima;-5.0;США;;;
;Falconara;Анкона;Ancona;+1.0;Италия;3907128271;info@ancona-airport.com;http://www.ancona-airport.com
Аомори;Aomori;Аомори;Aomori;+9.0;Япония;;;
Карпатос;Karpathos;Карпатос;Karpathos;+2.0;Греция;;;
;Paso De Los Libres;;Paso De Los Libres;+3.0;Аргентина;;;
Арона;Arona;Арона;Arona;-10.0;Соломоновы острова;;;
Мартинсбург;Martinsburg;;Martinsburg;-5.0;США;;;
Алор-Сетар;Alor Setar;Алор-Сетар;Alor Setar;+8.0;Малайзия;;;
;Amook;;Amook;-9.0;США;;;
;Corrado Gex;Аоста;Aosta;+0.0;Италия;;;
Аттопью;Attopeu;Аттопью;Attopeu;+7.0;Лаос;;;
;Arapahoe Co;Денвер;Denver;-7.0;США;;;
Аполо;Apolo;Аполо;Apolo;-4.0;Боливия;;;
;Napa County;Напа;Napa;+8.0;США;;;
Сан-Хуан-Апосенто;San Juan Aposento;Сан-Хуан-Апосенто;San Juan Aposento;+5.0;Перу;;;
Неаполь;Naples;Неаполь;Naples;-5.0;США;;;
;Phillips AAF;;Aberdeen;-5.0;США;;;
;Camp A P Hill;;Bowling Green;-6.0;США;;;
Апиай;Apiay;Апиай;Apiay;-5.0;Колумбия;;;
;Apataki;;Apataki;+10.0;Французская Полинезия;;;
Нампула;Nampula;Нампула;Nampula;+2.0;Мозамбик;;;
;Alpena County Regional;;Alpena;-5.0;США;;;
Апартадо;Apartado;Апартадо;Apartado;+5.0;Колумбия;;;
Асапа;Asapa;Асапа;Asapa;-10.0;Папуа - Новая Гвинея;;;
;Arapiraca;;Arapiraca;+3.0;Бразилия;;;
Эйприл-Ривер;April River;Эйприл-Ривер;April River;-10.0;Папуа - Новая Гвинея;;;
Анаполис;Anapolis;;Anapolis;-2.0;Бразилия;;;
;Marion County;Джаспер;Jasper;+6.0;США;;;
;Apucarana;;Apucarana;-2.0;Бразилия;;;
Эппл Вэлли;Apple Valley;Эппл Вэлли;Apple Valley;-8.0;США;;;
;Faleolo;;Apia;-11.0;Самоа;;;
;Arapongas;;Arapongas;-2.0;Бразилия;;;
;Alto Parnaiba;;Alto Parnaiba;+3.0;Бразилия;;;
Запала;Zapala;Запала;Zapala;+3.0;Аргентина;;;
;Araraquara;;Araraquara;-2.0;Бразилия;;;
;Quiche Airport;;Quiche;-6.0;Гватемала;;;
Аньцин;Anqing;Аньцин;Anqing;-8.0;Китай;;;
Кайсумах;Qaisumah;Кайсумах;Qaisumah;-3.0;Саудовская Аравия;;;
;King Hussein Intl;Акаба;Aqaba;+2.0;Иордания;;;
;Ariquemes;;Ariquemes;+4.0;Бразилия;;;
;Rodriguez Ballon;Арекуипа;Arequipa;-5.0;Перу;;;
Сакани;Saqani;Сакани;Saqani;-12.0;Фиджи;;;
;Alyeska;;Alyeska;-9.0;США;;;
;Acadiana Regional;;New Iberia;-6.0;США;;;
;Municipal;;Ann Arbor, MI;-5.0;США;;;
;Arctic Village;;Arctic Village;-9.0;США;;;
Алор-Айленд;Alor Island;Алор-Айленд;Alor Island;-8.0;Индонезия;;;
;Arecibo;;Arecibo;-4.0;Пуэрто Рико;;;
;Acaricuara;;Acaricuara;+5.0;Колумбия;;;
;Walnut Ridge;;Walnut Ridge;+6.0;США;;;
Талаги;Talagi;Архангельск;Arkhangelsk;+3.0;Россия;(8182) 64-09-12;arhap@atnet.ru;http://arhport.ru/rus/com-airport.htm
;Chacalluta;Арика;Arica;-3.0;Чили;;;
Арсо;Arso;Арсо;Arso;+9.0;Индонезия;;;
Аруша;Arusha;Аруша;Arusha;+3.0;Танзания;;;
Арли;Arly;Арли;Arly;+0.0;Буркина-Фасо;;;
Армидаль;Armidale;Армидаль;Armidale;-10.0;Австралия;;;
;Arlanda;Стокгольм;Stockholm;+1.0;Швеция;+46 8 797 6000;;http://www.lfv.se/arlanda
Арболетас;Arboletas;Арболетас;Arboletas;-5.0;Колумбия;;;
Араджип;Aragip;Араджип;Aragip;-10.0;Папуа - Новая Гвинея;;;
Араукита;Arauquita;Араукита;Arauquita;-5.0;Колумбия;;;
Альто-Рио-Сенгерр;Alto Rio Senguerr;Альто-Рио-Сенгерр;Alto Rio Senguerr;+3.0;Аргентина;;;
;Aragarcas;;Aragarcas;-3.0;Бразилия;;;
;Watertown;;Watertown;+5.0;США;;;
;Aracatuba;;Aracatuba;+3.0;Бразилия;;;
;Noble F. Lee;;Minocqua;-6.0;США;;;
Арад;Arad;Арад;Arad;+2.0;Румыния;+40 (0)257 254440;;http://www.aeroportularad.ro/
;Asbury Park;;Neptune, NJ;-5.0;США;;;
;Ararat;;Ararat;+10.0;Австралия;353550205;;
;Assab International;Ассаб;Assab;+3.0;Эритрея;;;
;Ashgabat;Ашхабад;Ashgabat;+5.0;Туркменистан;;;
Аскеншн;Ascension;Аскеншн;Ascension;-4.0;Боливия;;;
;Andros Town;;Andros Town;-5.0;Багамские острова;;;
Аспен;Aspen;Аспен;Aspen;-7.0;США;;;
Астрахань;Astrakhan;Астрахань;Astrakhan;+4.0;Россия;;;
Ашбертон;Ashburton;Ашбертон;Ashburton;+13.0;Новая Зеландия;;;
